Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     8416     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.00     0.00     6312     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.00     0.00     6312     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.00     0.00     6312     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      0.00     0.00     4208     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator()
  0.00      0.00     0.00     2309     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.00     0.00     2305     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.00     0.00     2305     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.00     0.00     2305     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.00     0.00     2305     0.00     0.00  std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.00     0.00     2305     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      0.00     0.00     2304     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.00     0.00     2304     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.00     0.00     2304     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.00     0.00     2304     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.00     0.00     2304     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      0.00     0.00     2304     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.00     0.00     2204     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.00     0.00     2204     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::end()
  0.00      0.00     0.00     2204     0.00     0.00  std::operator!=(std::_List_iterator<int> const&, std::_List_iterator<int> const&)
  0.00      0.00     0.00     2204     0.00     0.00  std::operator!=(std::_List_const_iterator<int> const&, std::_List_const_iterator<int> const&)
  0.00      0.00     0.00     2204     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00     2104     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr() const
  0.00      0.00     0.00     2104     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr() const
  0.00      0.00     0.00     2104     0.00     0.00  std::_List_node<int>::_M_valptr() const
  0.00      0.00     0.00     2104     0.00     0.00  std::_List_iterator<int>::operator*() const
  0.00      0.00     0.00     2104     0.00     0.00  std::_List_const_iterator<int>::operator*() const
  0.00      0.00     0.00     2104     0.00     0.00  std::_List_iterator<int>::operator++()
  0.00      0.00     0.00     2104     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::__allocated_ptr(std::allocator<std::_List_node<int> >&, std::_List_node<int>*)
  0.00      0.00     0.00     2104     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::~__allocated_ptr()
  0.00      0.00     0.00     2104     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::operator=(decltype(nullptr))
  0.00      0.00     0.00     2104     0.00     0.00  std::__new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned long)
  0.00      0.00     0.00     2104     0.00     0.00  std::__new_allocator<std::_List_node<int> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00     2104     0.00     0.00  std::_List_const_iterator<int>::operator++()
  0.00      0.00     0.00     2104     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_node()
  0.00      0.00     0.00     2104     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_inc_size(unsigned long)
  0.00      0.00     0.00     2104     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*)
  0.00      0.00     0.00     2104     0.00     0.00  std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&)
  0.00      0.00     0.00     2104     0.00     0.00  void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int const&>(std::_List_iterator<int>, int const&)
  0.00      0.00     0.00     2104     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::push_back(int const&)
  0.00      0.00     0.00     2104     0.00     0.00  std::allocator<std::_List_node<int> >* std::__addressof<std::allocator<std::_List_node<int> > >(std::allocator<std::_List_node<int> >&)
